perfil,cenario,algoritmo,cobertura_%,ganho_vs_aleatorio_pp
A_cobertura_prioritaria,100x100_escasso,PSO,34.9,8.2
A_cobertura_prioritaria,100x100_escasso,GWO,34.8,8.1
A_cobertura_prioritaria,100x100_escasso,WOA,34.5,7.8
A_cobertura_prioritaria,100x100_escasso,SSA,34.4,7.7
A_cobertura_prioritaria,100x100_escasso,CS,34.0,7.3
A_cobertura_prioritaria,100x100_suficiente,PSO,67.8,21.6
A_cobertura_prioritaria,100x100_suficiente,GWO,65.1,18.9
A_cobertura_prioritaria,100x100_suficiente,WOA,65.9,19.7
A_cobertura_prioritaria,100x100_suficiente,SSA,60.8,14.6
A_cobertura_prioritaria,100x100_suficiente,CS,59.4,13.2
A_cobertura_prioritaria,100x100_redundante,PSO,87.9,27.2
A_cobertura_prioritaria,100x100_redundante,GWO,86.1,25.4
A_cobertura_prioritaria,100x100_redundante,WOA,84.6,23.9
A_cobertura_prioritaria,100x100_redundante,SSA,75.9,15.2
A_cobertura_prioritaria,100x100_redundante,CS,76.2,15.5
A_cobertura_prioritaria,250x250_escasso,PSO,35.9,8.6
A_cobertura_prioritaria,250x250_escasso,GWO,35.7,8.4
A_cobertura_prioritaria,250x250_escasso,WOA,35.5,8.2
A_cobertura_prioritaria,250x250_escasso,SSA,35.5,8.2
A_cobertura_prioritaria,250x250_escasso,CS,34.9,7.6
A_cobertura_prioritaria,250x250_suficiente,PSO,63.8,20.7
A_cobertura_prioritaria,250x250_suficiente,GWO,62.6,19.5
A_cobertura_prioritaria,250x250_suficiente,WOA,61.1,18.0
A_cobertura_prioritaria,250x250_suficiente,SSA,57.5,14.4
A_cobertura_prioritaria,250x250_suficiente,CS,57.0,13.9
A_cobertura_prioritaria,250x250_redundante,PSO,86.8,28.0
A_cobertura_prioritaria,250x250_redundante,GWO,86.6,27.8
A_cobertura_prioritaria,250x250_redundante,WOA,83.5,24.7
A_cobertura_prioritaria,250x250_redundante,SSA,75.9,17.1
A_cobertura_prioritaria,250x250_redundante,CS,74.4,15.6
A_cobertura_prioritaria,500x500_escasso,PSO,34.9,8.2
A_cobertura_prioritaria,500x500_escasso,GWO,34.8,8.1
