perfil,cenario,par,p_valor,significativo_bruto,significativo_holm
A_cobertura_prioritaria,100x100_escasso,Aleatório vs PSO,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_escasso,Aleatório vs GWO,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_escasso,Aleatório vs WOA,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_escasso,Aleatório vs SSA,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_escasso,Aleatório vs CS,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_escasso,PSO vs GWO,8.782404130245518e-05,True,True
A_cobertura_prioritaria,100x100_escasso,PSO vs WOA,8.819870204194453e-05,True,True
A_cobertura_prioritaria,100x100_escasso,PSO vs SSA,8.844915021211901e-05,True,True
A_cobertura_prioritaria,100x100_escasso,PSO vs CS,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_escasso,GWO vs WOA,0.9305503892328096,False,False
A_cobertura_prioritaria,100x100_escasso,GWO vs SSA,0.0004825592041015625,True,True
A_cobertura_prioritaria,100x100_escasso,GWO vs CS,3.814697265625e-06,True,True
A_cobertura_prioritaria,100x100_escasso,WOA vs SSA,0.04862480166721016,True,False
A_cobertura_prioritaria,100x100_escasso,WOA vs CS,0.013616561889648438,True,True
A_cobertura_prioritaria,100x100_escasso,SSA vs CS,0.0072956085205078125,True,True
A_cobertura_prioritaria,100x100_suficiente,Aleatório vs PSO,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,Aleatório vs GWO,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,Aleatório vs WOA,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,Aleatório vs SSA,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,Aleatório vs CS,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,PSO vs GWO,0.000133514404296875,True,True
A_cobertura_prioritaria,100x100_suficiente,PSO vs WOA,1.33514404296875e-05,True,True
A_cobertura_prioritaria,100x100_suficiente,PSO vs SSA,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,PSO vs CS,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,GWO vs WOA,0.7841262817382812,False,False
A_cobertura_prioritaria,100x100_suficiente,GWO vs SSA,0.000133514404296875,True,True
A_cobertura_prioritaria,100x100_suficiente,GWO vs CS,0.00025021619831076065,True,True
A_cobertura_prioritaria,100x100_suficiente,WOA vs SSA,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,WOA vs CS,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_suficiente,SSA vs CS,0.039989471435546875,True,False
A_cobertura_prioritaria,100x100_redundante,Aleatório vs PSO,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_redundante,Aleatório vs GWO,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_redundante,Aleatório vs WOA,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_redundante,Aleatório vs SSA,1.9073486328125e-06,True,True
A_cobertura_prioritaria,100x100_redundante,Aleatório vs CS,1.9073486328125e-06,True,True
