perfil,cenario,run,Aleatório_custo,Aleatório_cobertura,Aleatório_overlaps,Aleatório_conectividade,PSO_custo,PSO_cobertura,PSO_overlaps,PSO_conectividade,GWO_custo,GWO_cobertura,GWO_overlaps,GWO_conectividade,WOA_custo,WOA_cobertura,WOA_overlaps,WOA_conectividade,SSA_custo,SSA_cobertura,SSA_overlaps,SSA_conectividade,CS_custo,CS_cobertura,CS_overlaps,CS_conectividade
B_transicao,100x100_escasso,1,0.46937828034404705,0.2503,5,0.8,0.32531124399568667,0.3494,0,1.0,0.3259974512302716,0.348,0,1.0,0.3260954808352122,0.3478,0,1.0,0.33634586623964857,0.3346,3,1.0,0.32771296931673366,0.3446,0,1.0
B_transicao,100x100_escasso,2,0.39178736099048617,0.2602,5,1.0,0.32506616998333493,0.3499,0,1.0,0.3260464660327419,0.3479,0,1.0,0.3259484364278012,0.3481,0,1.0,0.3278760346377117,0.3448,1,1.0,0.3330885387056537,0.3406,1,1.0
B_transicao,100x100_escasso,3,0.3886663827532821,0.2654,3,1.0,0.3257033624154495,0.3486,0,1.0,0.32957553181060684,0.3408,0,1.0,0.3260954808352122,0.3478,0,1.0,0.3272146534534807,0.3462,1,1.0,0.32983184670960575,0.3442,3,1.0
B_transicao,100x100_escasso,4,0.4154298822552331,0.3032,2,0.8,0.325213214390746,0.3496,0,1.0,0.3259974512302716,0.348,0,1.0,0.3260464660327419,0.3479,0,1.0,0.32580139202039016,0.3484,0,1.0,0.32842761879077953,0.3436,1,1.0
B_transicao,100x100_escasso,5,0.5703526148777687,0.2369,1,0.4,0.32506616998333493,0.3499,0,1.0,0.3260954808352122,0.3478,0,1.0,0.3260954808352122,0.3478,0,1.0,0.32606047388381754,0.348,2,1.0,0.3355060238045341,0.3302,1,1.0
B_transicao,100x100_escasso,6,0.4366551998650407,0.281,2,0.8,0.32491912557592395,0.3502,0,1.0,0.32619351044015293,0.3476,0,1.0,0.32624252524262326,0.3475,0,1.0,0.3261112151953098,0.348,2,1.0,0.33596341782190386,0.334,3,1.0
B_transicao,100x100_escasso,7,0.3534670490154792,0.3051,3,1.0,0.3256543476129791,0.3487,0,1.0,0.3259974512302716,0.348,0,1.0,0.3259974512302716,0.348,0,1.0,0.32888861081985804,0.3456,1,1.0,0.33694684174292827,0.3341,1,1.0
B_transicao,100x100_escasso,8,0.47482015473237604,0.2929,1,0.6,0.3254092736006274,0.3492,0,1.0,0.3258504068228605,0.3483,0,1.0,0.3259484364278012,0.3481,0,1.0,0.32954567200332335,0.3421,2,1.0,0.3378850818857062,0.333,2,1.0
B_transicao,100x100_escasso,9,0.5045937822089508,0.2549,1,0.6,0.3250171551808646,0.35,0,1.0,0.3273178152796361,0.3455,1,1.0,0.3255073032055681,0.349,0,1.0,0.33769678506959294,0.3307,2,1.0,0.33665811873484397,0.3384,5,1.0
B_transicao,100x100_escasso,10,0.41802213494701557,0.2268,4,1.0,0.3257033624154495,0.3486,0,1.0,0.3259484364278012,0.3481,0,1.0,0.3258994216253308,0.3482,0,1.0,0.32575237721791983,0.3485,0,1.0,0.32763438611643464,0.3463,1,1.0
B_transicao,100x100_escasso,11,0.4651132241937065,0.3098,0,0.6,0.3256543476129791,0.3487,0,1.0,0.3258504068228605,0.3483,0,1.0,0.32614449563768255,0.3477,0,1.0,0.32614449563768255,0.3477,0,1.0,0.330740825523426,0.3419,1,1.0
B_transicao,100x100_escasso,12,0.5511923679896635,0.2652,1,0.4,0.32536025879815705,0.3493,0,1.0,0.33054410492899317,0.3424,1,1.0,0.32619351044015293,0.3476,0,1.0,0.33485114665577187,0.3355,3,1.0,0.3315773642712906,0.3435,3,1.0
B_transicao,100x100_escasso,13,0.5350909983025425,0.2127,3,0.6,0.32560533281050874,0.3488,0,1.0,0.3260464660327419,0.3479,0,1.0,0.3427605136751299,0.3145,0,1.0,0.32619351044015293,0.3476,0,1.0,0.3272632639150687,0.3458,1,1.0
B_transicao,100x100_escasso,14,0.5144029986944347,0.2458,3,0.6,0.32560533281050874,0.3488,0,1.0,0.32614449563768255,0.3477,0,1.0,0.3256543476129791,0.3487,0,1.0,0.32673267326732675,0.3465,0,1.0,0.3319947244260196,0.3392,1,1.0
B_transicao,100x100_escasso,15,0.5695772196988924,0.2508,2,0.4,0.3255073032055681,0.349,0,1.0,0.32673267326732675,0.3465,0,1.0,0.3259974512302716,0.348,0,1.0,0.33255847781912,0.3422,2,1.0,0.3368585665296083,0.3359,3,1.0
B_transicao,100x100_escasso,16,0.453821601054511,0.2669,5,0.8,0.3255073032055681,0.349,0,1.0,0.3260464660327419,0.3479,0,1.0,0.3260464660327419,0.3479,0,1.0,0.3301266262212207,0.3445,2,1.0,0.33613146718408066,0.3299,1,1.0
