perfil,cenario,run,Aleatório_custo,Aleatório_cobertura,Aleatório_overlaps,Aleatório_conectividade,PSO_custo,PSO_cobertura,PSO_overlaps,PSO_conectividade,GWO_custo,GWO_cobertura,GWO_overlaps,GWO_conectividade,WOA_custo,WOA_cobertura,WOA_overlaps,WOA_conectividade,SSA_custo,SSA_cobertura,SSA_overlaps,SSA_conectividade,CS_custo,CS_cobertura,CS_overlaps,CS_conectividade
C_rede_prioritaria,100x100_escasso,1,0.3594321966267644,0.2503,5,0.8,0.19559847073816294,0.348,0,1.0,0.19556906185668071,0.3481,0,1.0,0.19562787961964515,0.3479,0,1.0,0.19548083521223408,0.3484,0,1.0,0.19662778159004018,0.3446,0,1.0
C_rede_prioritaria,100x100_escasso,2,0.24382147529300552,0.2602,5,1.0,0.1950985197529654,0.3497,0,1.0,0.19571610626409175,0.3476,0,1.0,0.19571610626409175,0.3476,0,1.0,0.19608312986624246,0.3466,1,1.0,0.1963593280266453,0.3463,2,1.0
C_rede_prioritaria,100x100_escasso,3,0.24173961086817275,0.2654,3,1.0,0.19495147534555438,0.3502,0,1.0,0.19568669738260952,0.3477,0,1.0,0.19562787961964515,0.3479,0,1.0,0.19738034317891795,0.3437,2,1.0,0.19866823529895974,0.3442,3,1.0
C_rede_prioritaria,100x100_escasso,4,0.3160709958715452,0.3032,2,0.8,0.19503970199000095,0.3499,0,1.0,0.19559847073816294,0.348,0,1.0,0.19559847073816294,0.348,0,1.0,0.19565728850112732,0.3478,0,1.0,0.19703374368144302,0.3459,1,1.0
C_rede_prioritaria,100x100_escasso,5,0.5377401259060992,0.2369,1,0.4,0.19545142633075188,0.3485,0,1.0,0.19559847073816294,0.348,0,1.0,0.19565728850112732,0.3478,0,1.0,0.1956614933917089,0.348,2,1.0,0.2015387656925843,0.3302,1,1.0
C_rede_prioritaria,100x100_escasso,6,0.33284576941704536,0.281,2,0.8,0.19533379080482305,0.3489,0,1.0,0.19632310962688196,0.3463,1,1.0,0.19565728850112732,0.3478,0,1.0,0.19568669738260952,0.3477,0,1.0,0.20197142158405887,0.3281,1,1.0
C_rede_prioritaria,100x100_escasso,7,0.21448067513056598,0.3051,3,1.0,0.19533379080482305,0.3489,0,1.0,0.19562787961964515,0.3479,0,1.0,0.19571610626409175,0.3476,0,1.0,0.20407464209246898,0.3295,1,1.0,0.20376382047050395,0.3341,1,1.0
C_rede_prioritaria,100x100_escasso,8,0.41340264664493365,0.2929,1,0.6,0.1950985197529654,0.3497,0,1.0,0.19559847073816294,0.348,0,1.0,0.19571610626409175,0.3476,0,1.0,0.19759827467895305,0.3413,0,1.0,0.200693912264263,0.338,2,1.0
C_rede_prioritaria,100x100_escasso,9,0.43556917677811063,0.2549,1,0.6,0.1951279286344476,0.3496,0,1.0,0.19556906185668071,0.3481,0,1.0,0.19556906185668071,0.3481,0,1.0,0.19693999221509997,0.3437,1,1.0,0.20197761298590838,0.3407,3,1.0
C_rede_prioritaria,100x100_escasso,10,0.2633902361135678,0.2268,4,1.0,0.195186746397412,0.3494,0,1.0,0.19568669738260952,0.3477,0,1.0,0.19553965297519849,0.3482,0,1.0,0.19545142633075188,0.3485,0,1.0,0.1969021049675277,0.3463,1,1.0
